	-16.9562        	0
	-16.9432        	0
	-16.9303        	0
	-16.9174        	0
	-16.9045        	0
	-16.8916        	0
	-16.8786        	0
	-16.8657        	0
	-16.8528        	0
	-16.8399        	0
	-16.8269        	0
 	-16.814        	0
	-16.8011        	0
	-16.7882        	0
	-16.7753        	0
	-16.7623        	0
	-16.7494        	0
	-16.7365        	0
	-16.7236        	0
	-16.7107        	0
	-16.6977        	0
	-16.6848        	0
	-16.6719        	0
 	-16.659        	0
 	-16.646        	0
	-16.6331        	0
	-16.6202        	0
	-16.6073        	0
	-16.5944        	0
	-16.5814        	0
	-16.5685        	0
	-16.5556        	0
	-16.5427        	0
	-16.5298        	0
	-16.5168        	0
	-16.5039        	0
 	-16.491        	0
	-16.4781        	0
	-16.4651        	0
	-16.4522        	0
	-16.4393        	0
	-16.4264        	0
	-16.4135        	0
	-16.4005        	0
	-16.3876        	0
	-16.3747        	0
	-16.3618        	0
	-16.3489        	0
	-16.3359        	0
 	-16.323        	0
	-16.3101        	0
	-16.2972        	0
	-16.2842        	0
	-16.2713        	0
	-16.2584        	0
	-16.2455        	0
	-16.2326        	0
	-16.2196        	0
	-16.2067        	0
	-16.1938        	0
	-16.1809        	0
 	-16.168        	0
 	-16.155        	0
	-16.1421        	0
	-16.1292        	0
	-16.1163        	0
	-16.1033        	0
	-16.0904        	0
	-16.0775        	0
	-16.0646        	0
	-16.0517        	0
	-16.0387        	0
	-16.0258        	0
	-16.0129        	0
     	-16        	0
	-15.9871        	0
	-15.9741        	0
	-15.9612        	0
	-15.9483        	0
	-15.9354        	0
	-15.9224        	0
	-15.9095        	0
	-15.8966        	0
	-15.8837        	0
	-15.8708        	0
	-15.8578        	0
	-15.8449        	0
 	-15.832        	0
	-15.8191        	0
	-15.8062        	0
	-15.7932        	0
	-15.7803   	0.0073
	-15.7674   	0.0887
	-15.7545   	0.1701
	-15.7415   	0.2515
	-15.7286    	0.333
	-15.7157   	0.4144
	-15.7028   	0.4958
	-15.6899   	0.5772
	-15.6769   	0.6586
 	-15.664     	0.74
	-15.6511   	0.8215
	-15.6382   	0.4621
	-15.6253   	0.4703
	-15.6123   	0.4785
	-15.5994   	0.4866
	-15.5865   	0.4948
	-15.5736    	0.503
	-15.5606   	0.5112
	-15.5477   	0.5193
	-15.5348   	0.5275
	-15.5219   	0.5357
 	-15.509   	0.5439
 	-15.496    	0.552
	-15.4831   	0.5602
	-15.4702   	0.5684
	-15.4573   	0.5766
	-15.4444   	0.5847
	-15.4314   	0.5929
	-15.4185   	0.6011
	-15.4056   	0.6093
	-15.3927   	0.6174
	-15.3797   	0.6236
	-15.3668   	0.6197
	-15.3539   	0.6159
 	-15.341    	0.612
	-15.3281   	0.6081
